panel,pathway,bin_index,log10_ai_center,n,q25,median,q75
b,VPD,0,-1.480830766192332,1429,-0.1897469311952591,-0.0814777389168739,-0.0099520869553089
b,VPD,1,-1.3967348080163209,2827,-0.1933081150054931,-0.1007373109459877,-0.0304525513201951
b,VPD,2,-1.3126388498403094,7819,-0.1889131441712379,-0.0932890027761459,-0.0140196159482002
b,VPD,3,-1.2285428916642984,15173,-0.2171113640069961,-0.1195199340581893,-0.0240357238799333
b,VPD,4,-1.144446933488287,26298,-0.215712372213602,-0.1022267490625381,-0.0113178002648055
b,VPD,5,-1.0603509753122755,34663,-0.1962548568844795,-0.068958006799221,0.0026634628884494
b,VPD,6,-0.9762550171362644,46724,-0.1717864982783794,-0.0425143502652645,0.0049064125632867
b,VPD,7,-0.8921590589602533,61212,-0.1598564721643924,-0.0384850855916738,0.0046552316052839
b,VPD,8,-0.808063100784242,75747,-0.1382246911525726,-0.0273921098560094,0.0086409859359264
b,VPD,9,-0.7239671426082308,91746,-0.129156693816185,-0.0211664363741874,0.0101176630705595
b,VPD,10,-0.6398711844322196,95801,-0.1407099366188049,-0.0243529863655567,0.0121605787426233
b,VPD,11,-0.5557752262562083,93520,-0.138869471848011,-0.0321413017809391,0.0138200893998146
b,VPD,12,-0.471679268080197,85633,-0.1280779540538787,-0.0345057547092437,0.0136154843494296
b,VPD,13,-0.3875833099041857,79969,-0.1197075098752975,-0.0337858535349369,0.014504162594676
b,VPD,14,-0.3034873517281745,77811,-0.0968109630048275,-0.020203448832035,0.0237426562234759
b,VPD,15,-0.2193913935521633,69981,-0.0670395642518997,-0.0098325256258249,0.0330419912934303
b,VPD,16,-0.135295435376152,59381,-0.0700666159391403,-0.0164648070931434,0.0232022386044263
b,VPD,17,-0.0511994772001408,57621,-0.0787407979369163,-0.0231081712990999,0.0205780807882547
b,VPD,18,0.0328964809758703,47046,-0.0657012034207582,-0.0153819704428315,0.0290421308018267
b,VPD,19,0.1169924391518816,39203,-0.0635998249053955,-0.0163198020309209,0.0239003375172615
b,VPD,20,0.2010883973278928,36038,-0.047900459729135,-0.0113768042065203,0.0186497122049331
b,VPD,21,0.2851843555039041,23013,-0.0497483238577842,-0.0113617088645696,0.0165165662765502
b,VPD,22,0.3692803136799153,12972,-0.0492532579228282,-0.0103259249590337,0.017428295686841
b,VPD,23,0.4533762718559266,6965,-0.0516293682157993,-0.0112176332622766,0.0145800272002816
b,VPD,24,0.5374722300319379,3819,-0.0492655392736196,-0.0095845265313982,0.0140172219835221
b,VPD,25,0.6215681882079491,2430,-0.0348512362688779,-0.0026281884638592,0.0203196625225245
b,VPD,26,0.7056641463839604,1655,-0.0239327857270836,-0.0017726122168824,0.0177961653098464
b,VPD,27,0.7897601045599716,1274,-0.0213845488615334,-0.0008561072172597,0.0168853644281625
b,VPD,28,0.8738560627359828,803,-0.0112258847802877,0.0002755730820354,0.0190901672467589
b,VPD,29,0.9579520209119942,528,-0.0085441826377063,0.0013031338457949,0.0240754727274179
d,SM,0,-1.480830766192332,1429,-0.0813475176692009,-0.0183091666549444,-0.0008055858197622
d,SM,1,-1.3967348080163209,2827,-0.1032804921269416,-0.0227433834224939,-0.0001041239884216
d,SM,2,-1.3126388498403094,7819,-0.1353810131549835,-0.0512638315558433,-0.0065486677922308
d,SM,3,-1.2285428916642984,15173,-0.1624975055456161,-0.0779060721397399,-0.0227022320032119
d,SM,4,-1.144446933488287,26298,-0.1647018305957317,-0.0794421583414077,-0.0156424809247255
d,SM,5,-1.0603509753122755,34663,-0.1561784148216247,-0.0574090480804443,-0.0102263949811458
d,SM,6,-0.9762550171362644,46724,-0.133217804133892,-0.0428924616426229,-0.0082765398547053
d,SM,7,-0.8921590589602533,61212,-0.1289113014936447,-0.0379120297729969,-0.0017375393654219
d,SM,8,-0.808063100784242,75747,-0.1231855265796184,-0.0367801859974861,-0.0025516037130728
d,SM,9,-0.7239671426082308,91746,-0.1120170522481203,-0.036734526976943,-0.0031360305147245
d,SM,10,-0.6398711844322196,95801,-0.1197217628359794,-0.0446793623268604,-0.0051557905972003
d,SM,11,-0.5557752262562083,93520,-0.1259755864739418,-0.0542116537690162,-0.0068941956851631
d,SM,12,-0.471679268080197,85633,-0.1248320341110229,-0.0576991774141788,-0.0094783743843436
d,SM,13,-0.3875833099041857,79969,-0.1238809674978256,-0.0575508140027523,-0.0092213386669754
d,SM,14,-0.3034873517281745,77811,-0.1197684332728385,-0.053280908614397,-0.0047964330296963
d,SM,15,-0.2193913935521633,69981,-0.1144306510686874,-0.0504224300384521,-0.0006579799228347
d,SM,16,-0.135295435376152,59381,-0.0828450098633766,-0.0135779660195112,0.0143461097031831
d,SM,17,-0.0511994772001408,57621,-0.0424571074545383,-0.0045778779312968,0.0176948420703411
d,SM,18,0.0328964809758703,47046,-0.0357869984582066,-0.0020154382800683,0.0171155519783496
d,SM,19,0.1169924391518816,39203,-0.0218230951577425,0.0020648564677685,0.0205519022420048
d,SM,20,0.2010883973278928,36038,-0.0086149570997804,0.0066547384485602,0.0244099046103656
d,SM,21,0.2851843555039041,23013,-0.0051810313016176,0.0056555671617388,0.0224816650152206
d,SM,22,0.3692803136799153,12972,-0.0045811106683686,0.0048095525708049,0.0206482666544616
d,SM,23,0.4533762718559266,6965,-0.0050545074045658,0.0057779648341238,0.0213895551860332
d,SM,24,0.5374722300319379,3819,-0.0043481879401952,0.0066239521838724,0.0255864784121513
d,SM,25,0.6215681882079491,2430,-0.00492301909253,0.0046343023423105,0.0216739955358207
d,SM,26,0.7056641463839604,1655,-0.004601510008797,0.0032592576462775,0.0210393266752362
d,SM,27,0.7897601045599716,1274,-0.0044762887991964,0.0026780972257256,0.0167592735961079
d,SM,28,0.8738560627359828,803,-0.0036397340008988,0.0020949181634932,0.0149201303720474
d,SM,29,0.9579520209119942,528,-0.0035030367434956,0.0019616176141425,0.0143643629271537
f,Ta,0,-1.480830766192332,1429,-0.008233486674726,0.0419044196605682,0.0987154692411422
f,Ta,1,-1.3967348080163209,2827,-0.0123767526820302,0.0360422581434249,0.0973803102970123
f,Ta,2,-1.3126388498403094,7819,-0.0245239594951272,0.0156774073839187,0.0636450462043285
f,Ta,3,-1.2285428916642984,15173,-0.0294487290084362,0.0149108069017529,0.0659751072525978
f,Ta,4,-1.144446933488287,26298,-0.0274304370395839,0.0184391550719738,0.0630511026829481
f,Ta,5,-1.0603509753122755,34663,-0.0175135098397731,0.0225040856748819,0.0657349787652492
f,Ta,6,-0.9762550171362644,46724,-0.0087534138001501,0.02905476372689,0.0701941922307014
f,Ta,7,-0.8921590589602533,61212,-0.0085297659970819,0.0293084383010864,0.0765601452440023
f,Ta,8,-0.808063100784242,75747,-0.0158980023115873,0.0210175663232803,0.0674162954092025
f,Ta,9,-0.7239671426082308,91746,-0.0175245380960404,0.0167419454082846,0.062980743125081
f,Ta,10,-0.6398711844322196,95801,-0.0132767427712678,0.0229312255978584,0.0703950077295303
f,Ta,11,-0.5557752262562083,93520,-0.0033332473831251,0.0307221719995141,0.0818958561867475
f,Ta,12,-0.471679268080197,85633,0.0017450611339882,0.0351060256361961,0.0856111049652099
f,Ta,13,-0.3875833099041857,79969,0.0044176960363984,0.0391937084496021,0.0889943987131118
f,Ta,14,-0.3034873517281745,77811,0.0019460807088762,0.0350146330893039,0.0829004235565662
f,Ta,15,-0.2193913935521633,69981,-8.111173519864678e-05,0.029520196840167,0.0722449868917465
f,Ta,16,-0.135295435376152,59381,0.0007444689399562,0.0343818701803684,0.083259142935276
f,Ta,17,-0.0511994772001408,57621,0.0096436375752091,0.0533041730523109,0.1058867424726486
f,Ta,18,0.0328964809758703,47046,0.0152873049955815,0.0533979125320911,0.1005210746079683
f,Ta,19,0.1169924391518816,39203,0.0202246140688657,0.0614311322569847,0.1069793328642845
f,Ta,20,0.2010883973278928,36038,0.0246640024706721,0.0652585253119468,0.1018755789846181
f,Ta,21,0.2851843555039041,23013,0.0171457882970571,0.0559452809393405,0.1005360186100006
f,Ta,22,0.3692803136799153,12972,0.0134828763548284,0.0548957567662,0.1042588483542203
f,Ta,23,0.4533762718559266,6965,0.0146419182419776,0.0662252157926559,0.1178188621997833
f,Ta,24,0.5374722300319379,3819,0.013373811263591,0.0707697868347168,0.1239433176815509
f,Ta,25,0.6215681882079491,2430,0.0101138984318822,0.0600030291825532,0.1135241594165563
f,Ta,26,0.7056641463839604,1655,0.0070711481384932,0.0530464947223663,0.099700890481472
f,Ta,27,0.7897601045599716,1274,0.0043728450546041,0.0441246014088392,0.0887574795633554
f,Ta,28,0.8738560627359828,803,0.0010628231684677,0.0319712832570076,0.0676665566861629
f,Ta,29,0.9579520209119942,528,0.0033045306336134,0.0279483515769243,0.0695101097226142
